ANT_NUMBER : 32
NB_IT : 200
NB_RUNS : 100
#ka ra ro Q1 MEDIANE Q3 
1 1 1 0.227150 0.225538 0.232429
1 1 2 0.301731 0.298875 0.307124
1 2 2 0.169753 0.166298 0.174734
1 2 3 0.153690 0.151293 0.157570
2 1 1 0.243526 0.240769 0.249566
2 1 2 0.388755 0.385800 0.395150
2 2 2 0.217657 0.215650 0.222728
2 2 3 0.226082 0.223928 0.230124
3 1 1 0.259779 0.257203 0.266441
3 1 2 0.429763 0.426912 0.438279
3 2 2 0.261207 0.259182 0.267617
3 2 3 0.288233 0.284577 0.291939
