ANT_NUMBER : 32
NB_IT : 200
NB_RUNS : 100
#k ra ro MIN Q1 MEDIANE Q3 
1 1 1 66 75 71 78
1 1 2 34 39 35 42
1 2 2 10 13 11 15
1 2 3 7 8 7 9
2 1 1 85 91 85 94
2 1 2 65 72 65 74
2 2 2 18 21 19 23
2 2 3 15 17 15 19
3 1 1 107 111 107 114
3 1 2 95 104 99 109
3 2 2 27 30 27 32
3 2 3 24 26 24 28
