ANT_NUMBER : 16
NB_IT : 100
NB_RUNS : 4
#ka ra ro Q1 MEDIANE Q3 
1 1 1 0.086025 0.086025 0.087216
1 1 2 0.086385 0.086385 0.087391
1 2 2 0.074682 0.074682 0.075323
1 2 3 0.072280 0.072280 0.073825
2 1 1 0.118094 0.118094 0.119443
2 1 2 0.156503 0.156503 0.158312
2 2 2 0.124597 0.124597 0.125219
2 2 3 0.134390 0.134390 0.135963
3 1 1 0.145478 0.145478 0.146650
3 1 2 0.211335 0.211335 0.214063
3 2 2 0.174459 0.174459 0.175496
3 2 3 0.193243 0.193243 0.194203
