ANT_NUMBER : 16
NB_IT : 100
NB_RUNS : 4
#k ra ro MIN Q1 MEDIANE Q3 
1 1 1 78 79 79 79
1 1 2 41 44 44 45
1 2 2 12 14 14 16
1 2 3 9 10 10 11
2 1 1 91 94 94 98
2 1 2 71 74 74 76
2 2 2 22 25 25 26
2 2 3 16 18 18 21
3 1 1 113 114 114 116
3 1 2 110 111 111 114
3 2 2 32 33 33 35
3 2 3 28 29 29 31
